Indicator,Reporting Economy,Partner Economy,Product/Sector Code,Product/Sector,Period,Unit,Year,Value
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2008,3242.49092
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2009,1938.429782
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2006,1395.596389
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2007,2224.678214
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2004,1144.28412
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2005,1247.327949
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2003,927.154695
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2002,632.994147
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2010,2132.87418
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2011,2579.199449
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2014,2237.470077
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2012,2478.136787
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2013,2407.356
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2019,3716.625656
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2018,5090.469064
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2017,3397.195161
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2015,2205.103571
Import,Argentina,World,AG,Agricultural products,Annual,Million US dollar,2016,2560.30994
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2009,1471.818015
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2010,1498.533425
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2008,2616.221561
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2007,1654.323597
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2012,1726.356928
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2013,1708.956
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2011,1787.167886
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2014,1601.156216
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2015,1599.313004
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2016,2037.374343
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2017,2805.174039
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2019,3203.049841
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2018,4505.183709
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2004,741.383845
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2005,814.39559
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2003,581.910784
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2002,416.488237
Import,Argentina,World,AGFO,Food,Annual,Million US dollar,2006,888.998171
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2002,7464.591257
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2019,39076.37748
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2017,55886.26699
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2018,51477.70705
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2016,46964.23823
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2015,49218.46202
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2013,57364.871
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2014,49820.87212
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2012,54514.01946
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2011,59103.68763
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2009,33083.11503
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2010,47883.44725
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2007,38065.11064
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2008,47615.18384
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2005,24767.50481
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2006,29562.70539
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2004,19405.51108
Import,Argentina,World,MA,Manufactures,Annual,Million US dollar,2003,11844.13308
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2011,12424.70306
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2014,11694.03546
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2015,11297.57399
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2016,9992.559586
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2017,10661.84513
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2010,10195.2001
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2018,11086.09639
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2019,10283.27117
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2002,2821.996873
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2003,3832.967203
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2004,5009.369831
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2005,5689.039546
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2006,6405.726648
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2007,8252.417083
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2008,10406.58333
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2009,7270.411247
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2013,12060.288
Import,Argentina,World,MACH,Chemicals,Annual,Million US dollar,2012,12072.87701
Import,Argentina,World,MACHPH,Pharmaceuticals,Annual,Million US dollar,2008,1313.386961
